Entity,Code,Year,Dementia,Cardiovascular diseases,Kidney disease,Respiratory disease,Liver disease,"Diabetes, blood and endocrine disease",Digestive disease,Hepatitis,Cancers,Parkinson's disease,Fire,Malaria,Drowning,Homicide,HIV/AIDS,Drug disorder,Tuberculosis,Road incidents,Maternal deaths,Neonatal deaths,Alcohol disorder,Natural disasters,Diarrheal diseases,Heat-related deaths (hot or cold exposure),Nutritional deficiencies,Suicide,Execution,Meningitis (deaths),Lower respiratory infections (deaths),Intestinal infectious diseases (deaths),Protein-energy malnutrition (deaths),Conflict (deaths),Terrorism (deaths)
Afghanistan,AFG,2001,1575,55301,4916,6817,2578,11488,2904,316,11998,84,440,1368,2400,3787,62,146,16401,10414,4491,21855,82,0,9177,411,696,1298,,9477.582050814033,30505.524508055452,359.769786432,1966.5659222428412,5691,174
Afghanistan,AFG,2002,1646,57185,5109,7048,2671,12007,3004,322,12484,89,451,1552,2458,3988,66,155,16292,10815,4791,22653,86,1281,9062,417,677,1362,,8335.20530321689,28909.06414981553,364.035374885,1857.651707221209,1071,74
Afghanistan,AFG,2003,1723,59350,5427,7403,2845,12949,3248,355,13237,94,531,1788,3101,4313,71,166,16589,11975,5100,23688,90,137,10785,457,789,1452,,9912.024674090171,33217.86157805736,449.369179638,2110.1470999700527,773,163
Afghanistan,AFG,2004,1801,61499,5707,7707,2988,13737,3413,373,13912,99,571,1795,3403,4569,76,176,16799,12693,5210,24167,95,0,11154,486,822,1530,,10282.72309601904,33809.983169708525,486.395564346,2186.5759758329204,541,275
Afghanistan,AFG,2005,1880,63305,5912,7929,3091,14326,3499,376,14444,105,577,1836,3427,4750,81,185,16709,13101,5398,24310,99,537,10567,483,801,1605,,10059.37150209122,32720.368690996187,485.893244408,2071.8513813650698,1349,367
Afghanistan,AFG,2006,1962,64886,6092,8108,3168,14791,3551,375,14892,111,573,1860,3365,4846,86,191,16607,13233,5399,23960,102,391,9774,467,768,1650,,9722.5907585133,31428.488666970115,473.741662897,1996.69147726342,4267,732
Afghanistan,AFG,2007,2040,66020,6234,8231,3227,15174,3577,371,15253,116,564,1856,3285,4911,92,196,16344,13264,5485,23421,104,285,8945,475,738,1680,15,9121.085992495782,29066.442137435646,461.195201808,1846.9966859901444,5834,1199
Afghanistan,AFG,2008,2117,67207,6375,8346,3281,15543,3583,363,15608,122,546,1836,3129,4955,97,201,16043,13231,5452,22827,106,0,7965,462,687,1712,17,8387.057275214835,26623.480551214987,437.718960254,1681.2703238329461,4064,1092
Afghanistan,AFG,2009,2197,68099,6500,8430,3325,15880,3582,356,15923,128,528,1805,2953,4986,103,205,15746,13154,5397,22180,109,100,6992,436,648,1745,0,7318.273004343854,24792.335791913672,415.776633935,1568.0950287470325,5490,1065
Afghanistan,AFG,2010,2287,69153,6559,8466,3332,15994,3481,333,16126,134,459,1645,2373,4936,107,209,15227,12577,5176,21121,111,348,5042,409,518,1761,,7154.31944438846,23950.017285651822,332.253781344,1541.8411548239826,6194,1157
Afghanistan,AFG,2011,2370,70242,6674,8564,3383,16427,3468,325,16456,141,435,1563,2163,5020,111,215,14819,12547,5049,20726,114,83,4118,385,466,1807,2,6919.757958314193,23115.144835765892,299.758257569,1468.2037440309148,6101,1525
Afghanistan,AFG,2012,2462,71634,6857,8731,3475,17107,3523,328,16967,148,439,1575,2179,5193,116,223,14451,12886,4979,20717,118,336,3844,383,464,1874,14,6631.94260103674,22155.754480685675,302.255410524,1406.2147880552131,4295,3521
Afghanistan,AFG,2013,2548,73544,7210,9060,3664,18358,3759,356,17869,155,524,1879,2841,5565,125,235,14510,14241,5061,21539,123,156,5037,426,587,1992,2,6774.892058675065,22417.229523084658,402.174478238,1423.283630542485,4473,3709
Afghanistan,AFG,2014,2640,75552,7487,9328,3808,19345,3879,368,18596,163,553,1980,3051,5825,138,246,14359,14914,5080,21925,128,581,5137,451,618,2081,6,6795.163085629436,22167.851943956706,427.419194213,1421.2393322614134,7177,5414
Afghanistan,AFG,2015,2732,77650,7750,9587,3942,20304,3965,376,19289,170,567,2079,3140,6059,153,257,14142,15441,5096,22193,133,436,5015,442,626,2169,1,6667.310322731778,21627.195092355694,432.539812373,1384.9738013656224,11840,6216
Afghanistan,AFG,2016,2903,80333,8048,9922,4086,21413,4079,385,20048,183,581,2146,3227,6267,159,268,13937,15937,5143,22445,139,0,4910,447,636,2248,6,6672.896174157583,21359.253796983627,435.834888593,1363.9763724430027,16502,6142
Afghanistan,AFG,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,6588.66829993417,21431.16381780147,,1369.7425383556108,,6092
Albania,ALB,1990,425,6848,266,775,229,541,245,28,2556,60,31,0,140,160,1,8,40,391,23,550,9,0,95,5,39,127,,102.63652573615762,1960.058212428441,0.209819959391,32.89219013076359,0,0
Albania,ALB,1991,434,6987,270,782,229,558,258,27,2614,62,95,0,157,182,2,9,39,400,21,537,9,0,99,5,46,130,,109.9377067388345,2052.9385538251645,0.22005791708,37.252673366301835,0,0
Albania,ALB,1992,442,7058,269,781,226,560,253,24,2626,63,36,0,156,201,2,9,38,396,19,524,9,11,95,5,47,131,,108.13984142160992,1991.8570198194084,0.215383825816,38.54567344660767,0,1
Albania,ALB,1993,449,7097,267,773,224,555,242,21,2635,63,34,0,152,221,2,11,37,373,18,512,10,14,87,6,49,135,,103.53243772878287,1896.258820442561,0.206717375885,40.15784531310402,,
Albania,ALB,1994,456,7178,267,761,223,549,229,18,2655,64,31,0,149,239,2,12,36,343,16,507,10,11,99,6,48,136,,96.464010428558,1744.172933667902,0.199610809513,40.22765033584988,15,1
Albania,ALB,1995,465,7324,272,743,224,544,212,15,2709,66,29,0,147,267,2,15,32,314,14,496,11,25,60,7,49,142,,88.24897573977387,1579.4302171602499,0.184837904951,41.55884934765059,,
Albania,ALB,1996,472,7455,273,726,223,534,196,12,2761,67,27,0,140,295,2,16,31,293,12,485,11,22,49,7,46,150,,80.8372278425275,1425.9876049863858,0.176677072067,41.63791227846088,0,7
Albania,ALB,1997,480,7722,280,719,225,537,184,10,2850,68,26,0,128,327,2,18,29,281,11,476,11,7,41,7,42,162,,72.05572666122052,1259.4561329040766,0.171089247571,40.08676869523255,2002,26
Albania,ALB,1998,492,8074,288,716,227,543,177,9,2964,70,24,0,122,338,2,20,28,281,10,464,12,10,32,8,36,170,,65.2946831828525,1103.416580332319,0.167517257448,35.140013539335584,5,0
Albania,ALB,1999,505,8421,297,712,234,555,170,8,3087,72,23,0,112,309,2,21,26,283,9,452,12,11,27,8,29,175,,60.84017766009706,1004.5456018179439,0.169063158229,31.209937980261973,0,6
Albania,ALB,2000,519,8836,310,717,239,575,168,6,3209,75,22,0,98,260,2,24,24,284,8,432,13,0,22,7,22,175,,54.165735765460354,855.8601536908762,0.171205152659,24.626475736056044,0,0
Albania,ALB,2001,537,9282,320,713,244,594,167,5,3311,78,21,0,92,224,2,28,23,302,8,406,13,4,19,7,18,184,,47.62143722566234,708.9939180568165,0.174743822725,16.24013331972781,5,0
Albania,ALB,2002,554,9771,326,713,249,609,167,5,3437,81,21,0,85,189,2,30,22,310,7,379,14,7,16,7,15,191,,43.495472620305605,626.6807356918753,0.179087651257,12.516978880218346,,
Albania,ALB,2003,579,10312,335,720,256,625,169,4,3559,86,20,0,77,155,2,31,21,313,7,349,14,8,14,7,12,196,,39.98883088006565,564.3560946332575,0.183560513754,9.582810212804727,0,0
Albania,ALB,2004,601,10796,343,721,264,638,172,4,3657,90,19,0,70,124,2,31,20,307,7,322,15,4,12,6,10,201,,36.90944027289633,506.4608527376966,0.186193882748,7.377369524166921,,
Albania,ALB,2005,622,11208,351,715,270,646,175,4,3733,94,18,0,57,94,2,28,18,290,7,303,16,0,11,5,9,204,,33.65442854472423,453.93292214808884,0.190567943788,6.373356518629026,,
Albania,ALB,2006,642,11456,353,704,275,641,176,4,3784,98,18,0,52,83,2,28,16,284,6,286,16,0,10,5,8,204,,31.361789040412447,410.4132696925045,0.189132837815,5.482240150282936,,
Albania,ALB,2007,662,11673,354,696,279,629,173,3,3814,102,18,0,53,83,2,28,15,292,6,269,17,0,9,5,7,204,,27.721985483561426,367.9769411492887,0.187339574311,4.685887621143901,,
Albania,ALB,2008,695,12088,360,697,285,627,174,3,3888,107,17,0,50,77,2,28,14,290,5,252,17,0,8,5,7,205,,25.377823304476397,349.84792890621816,0.186119454336,4.539529325699455,,
Albania,ALB,2009,729,12392,366,703,290,632,176,2,3969,113,16,0,46,67,2,26,13,270,5,235,16,0,8,5,6,201,,21.1541403464688,332.9643291391928,0.185326078763,3.9899355936175422,0,0
Albania,ALB,2010,763,12296,366,701,292,636,176,3,4019,119,16,0,45,68,2,26,13,266,4,221,17,0,8,5,6,195,,20.17242364482132,327.7896649126634,0.182627382705,3.7785033804372303,,
Albania,ALB,2011,791,12148,364,696,291,635,175,3,4045,124,16,0,42,68,2,26,12,260,4,216,16,0,8,5,6,191,,20.073285887283443,328.91474964077764,0.178123061898,3.7020569223087465,,
Albania,ALB,2012,820,12173,367,701,293,640,176,3,4091,129,16,0,41,68,2,26,12,255,4,212,16,0,8,5,5,188,,19.725804496029188,334.58980228180144,0.175484914786,3.5893517436271316,,
Albania,ALB,2013,852,12307,371,713,296,650,178,3,4159,134,16,0,40,69,2,27,12,252,4,209,16,0,8,5,5,186,,19.47734371322948,343.30815490162695,0.173015538366,3.5016529163371684,0,0
Albania,ALB,2014,883,12494,377,728,300,661,181,3,4239,139,16,0,41,69,2,27,12,250,4,206,16,0,7,5,5,184,,19.271601103396222,353.97681147639037,0.170769048944,3.4288310205223382,0,1
Albania,ALB,2015,915,12708,383,745,305,675,184,3,4327,144,16,0,38,69,2,28,12,247,4,202,16,0,7,5,5,183,,18.997733770742208,362.65740746030957,0.169066843028,3.356975339969409,0,0
Albania,ALB,2016,958,13002,390,767,308,687,187,3,4402,150,16,0,38,70,2,28,12,244,4,199,17,0,7,5,5,181,,18.791867352204417,372.2047961295348,0.167810776495,3.2947101955589235,0,0
Albania,ALB,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.606850096015137,381.65313836236356,,3.257634344179495,,0
Algeria,DZA,1990,3285,36268,3005,3426,1679,6785,1527,267,9417,189,848,5,1035,377,20,111,2203,8580,1363,15969,47,0,1394,121,244,806,,730.9036968172963,6177.939449135204,254.358069687,254.08423968869695,0,3
Algeria,DZA,1991,3425,36757,3052,3454,1712,6908,1518,259,9755,199,831,5,1023,382,22,116,2117,8529,1312,15734,48,0,1288,121,234,822,,696.3811861825931,5846.535146780119,254.186429094,253.78225553937708,0,42
Algeria,DZA,1992,3577,37473,3115,3507,1757,7072,1518,254,9878,210,819,6,1018,391,26,123,2038,8534,1268,15631,50,0,1202,117,228,843,,669.5640618020843,5583.585223526952,254.309290914,255.30110859851294,23,236
Algeria,DZA,1993,3756,38438,3196,3583,1810,7277,1525,250,10103,224,809,6,1019,400,29,130,1967,8587,1234,15681,51,37,1138,122,226,866,,648.7173264689005,5384.098401953959,253.770345477,259.3288639887624,,
Algeria,DZA,1994,3933,39372,3283,3659,1862,7488,1533,247,10373,238,800,6,1020,410,33,137,1895,8643,1202,15772,53,203,1089,123,224,888,,638.5526233768305,5230.600397854265,252.790205556,269.2675355552072,1423,500
Algeria,DZA,1995,4108,40286,3364,3728,1913,7694,1537,244,10743,252,792,6,1023,421,38,145,1816,8714,1173,15870,55,0,1049,123,222,912,,620.9510626405787,5079.437714396771,251.05960762,281.47535737135604,2761,418
Algeria,DZA,1996,4289,41312,3463,3815,1975,7908,1550,241,10739,266,789,6,1027,432,43,154,1780,8853,1156,15918,56,0,1027,117,218,941,,608.6459885780973,4966.124655236349,249.633687862,276.97582022681127,565,529
Algeria,DZA,1997,4479,42534,3579,3929,2049,8190,1578,247,10844,281,813,7,1086,452,49,163,1736,9250,1155,16046,58,0,1062,127,224,983,,612.9664980622166,4949.065429922721,256.683102193,278.57124002165364,0,4266
Algeria,DZA,1998,4723,43735,3690,4033,2111,8442,1598,245,10940,300,815,7,1101,468,56,173,1699,9498,1152,16045,60,0,1059,126,220,1022,,609.0470558573376,4877.181973885921,254.850601341,275.68418097858745,2374,952
Algeria,DZA,1999,4986,45191,3846,4136,2189,8753,1639,245,11199,320,803,7,1066,467,64,183,1656,9505,1123,16016,63,35,1052,125,214,1057,,597.0286807853025,4892.6857459818275,250.371902967,274.3453811910569,678,467
Algeria,DZA,2000,5266,46342,3972,4209,2254,9028,1674,244,11505,341,785,7,1025,463,73,193,1595,9399,1095,15875,65,0,1047,123,207,1080,,583.7799367461649,4891.743057735975,244.694783597,265.3001912538267,652,528
Algeria,DZA,2001,5553,47356,4108,4294,2327,9373,1712,245,11650,365,771,7,995,467,83,204,1531,9402,1084,15695,68,937,1033,121,199,1112,,565.2024377557597,4819.934355908908,238.499410106,223.8256023699973,24,624
Algeria,DZA,2002,5838,48323,4234,4374,2401,9723,1752,246,11995,390,760,7,968,471,95,215,1482,9402,1034,15396,71,42,1007,117,190,1144,,546.5741739491905,4751.94355464313,231.671037169,190.4859037787744,452,615
Algeria,DZA,2003,6196,49419,4378,4464,2478,10121,1795,246,12465,420,749,7,940,477,107,226,1432,9372,1029,14963,73,2369,961,110,177,1167,,524.0606605819852,4698.557746089788,224.207921194,166.65138491957666,403,269
Algeria,DZA,2004,6545,50419,4540,4549,2559,10547,1837,247,13045,450,740,8,919,459,121,236,1386,9354,1018,14533,76,0,916,113,164,1190,,515.3782368833837,4699.513933745548,217.24085313,151.25792296812625,319,166
Algeria,DZA,2005,6882,51275,4696,4621,2632,10960,1876,246,13730,480,730,8,892,451,137,246,1352,9269,985,14083,78,0,867,112,151,1207,,503.22262555965114,4684.90903830012,209.024256429,137.71107779798498,0,228
Algeria,DZA,2006,7196,52151,4859,4671,2705,11444,1907,253,14088,511,719,8,864,444,136,255,1312,9219,957,13588,80,0,828,112,139,1221,,492.95833171294504,4672.799325075018,200.955548427,127.32286718673346,108,185
Algeria,DZA,2007,7514,53081,5035,4725,2782,11965,1937,253,14459,542,708,8,839,437,112,265,1264,9167,919,13096,82,83,796,107,131,1236,,485.1413984454917,4664.515043400628,193.500431536,119.1316313917473,195,241
Algeria,DZA,2008,7962,54576,5260,4833,2874,12618,1986,253,14907,584,701,8,816,441,105,276,1238,9106,882,12592,84,94,774,110,127,1253,,421.49944356955905,4616.989724896215,186.301714972,110.54519651553206,92,249
Algeria,DZA,2009,8418,56272,5516,4955,2980,13352,2037,255,15415,627,694,8,797,445,107,287,1206,9093,849,12091,87,49,756,104,124,1272,,413.3191884648159,4587.6220670586235,179.830927792,102.71372956138302,305,204
Algeria,DZA,2010,8862,57949,5781,5081,3086,14110,2097,256,15923,669,692,8,777,447,98,298,1212,9071,805,11564,89,0,740,108,123,1289,,407.09526660769086,4585.069773216042,173.820060397,97.40011169338668,128,109
Algeria,DZA,2011,9285,59760,6036,5211,3188,14733,2148,256,16427,709,689,8,762,451,86,309,1200,9069,760,11006,91,0,726,102,122,1309,,401.84978800421476,4594.895464772172,168.701837443,93.48373683594141,242,25
Algeria,DZA,2012,9741,61862,6319,5362,3304,15421,2203,256,17007,751,686,8,750,457,83,321,1184,9121,716,10396,94,69,714,105,122,1337,,394.75905130906176,4587.2868734151,164.743186606,90.01284989224443,227,30
Algeria,DZA,2013,10248,64316,6629,5546,3427,16166,2271,256,17637,797,689,8,745,465,76,334,1182,9242,682,9855,97,0,707,104,124,1374,,399.6526665443613,4679.577071172065,161.869157118,90.17539905737638,74,101
Algeria,DZA,2014,10774,66822,6935,5745,3550,16888,2346,256,18281,844,696,8,743,474,67,348,1199,9373,649,9357,101,0,701,111,127,1409,,405.785812607586,4787.737189808875,159.64926706,90.1347086548625,71,37
Algeria,DZA,2015,11284,69097,7246,5923,3702,17605,2411,262,19022,892,692,8,726,472,63,360,1203,9353,598,8530,104,0,690,111,127,1422,,403.134976593328,4822.580531757953,156.565025024,87.9149498795359,63,21
Algeria,DZA,2016,11868,71758,7544,6130,3846,18323,2489,268,19728,943,690,8,712,471,63,372,1214,9360,557,7932,107,0,684,112,127,1436,,393.54937360664184,4757.1420311386,153.756748942,84.18435435490235,47,9
Algeria,DZA,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.61452393719765,4723.762256840123,,80.5170659937908,,12
American Samoa,ASM,1990,5,70,10,15,3,31,5,0,30,0,1,0,4,3,0,0,1,5,1,11,0,0,2,1,2,3,,1.162171949591786,11.97831940419753,0.953171096149,1.7377504601034697,,
American Samoa,ASM,1991,5,71,10,15,3,33,5,0,31,0,1,0,4,3,0,0,1,5,1,10,0,0,1,1,2,3,,1.1776556492069494,12.239995546240678,0.952705992127,1.7747604088802955,,
American Samoa,ASM,1992,5,72,10,15,3,34,6,0,31,0,1,0,4,3,0,0,1,5,1,10,0,0,2,1,2,3,,1.1897104423906717,12.44481294784901,0.947718312354,1.8013250272054413,,
American Samoa,ASM,1993,6,73,10,15,4,35,6,0,32,0,1,0,4,3,0,0,1,5,1,10,0,0,2,1,2,3,,1.2037560169379187,12.606450311489601,0.960983511559,1.8250951183626338,,
American Samoa,ASM,1994,6,74,10,15,4,36,6,0,33,0,1,0,5,3,1,0,1,5,1,10,0,0,1,1,2,3,,1.2147335698052806,12.75484379372723,0.953946603984,1.8413250840147524,,
American Samoa,ASM,1995,6,75,11,16,4,38,6,0,33,0,1,0,4,3,1,0,1,5,1,10,0,0,1,1,2,3,,1.221767199324938,12.865658556484219,0.927804924609,1.8500422958409224,,
American Samoa,ASM,1996,6,76,11,16,4,39,6,0,34,0,1,0,5,3,1,0,1,5,1,10,0,0,1,1,2,4,,1.2301207451973772,12.964735131997049,0.924078280163,1.866973727663664,,
American Samoa,ASM,1997,6,77,11,16,4,40,6,0,35,0,1,0,5,3,1,0,1,5,1,9,0,0,1,1,2,4,,1.2497591439193678,13.022556394501311,0.91829234067,1.8775737888903858,,
American Samoa,ASM,1998,6,78,12,15,4,42,6,0,36,0,1,0,5,3,1,0,1,5,1,9,0,0,1,1,2,4,,1.150875160804287,13.225313331769982,0.913612829102,1.8565644643242059,,
American Samoa,ASM,1999,6,78,12,15,4,42,6,0,36,0,1,0,4,3,1,0,1,5,1,9,0,0,1,1,2,4,,1.016190435651829,13.491484168356383,0.91732668681,1.8292545622882628,,
American Samoa,ASM,2000,6,77,12,15,4,44,5,0,37,0,1,0,5,4,1,0,1,5,1,9,0,0,1,1,2,4,,0.9579882528897131,13.319035857836736,0.90966606543,1.8748386191273516,,
American Samoa,ASM,2001,6,78,13,15,4,46,5,0,37,0,1,0,5,4,1,0,1,5,1,9,0,0,1,1,2,4,,0.9117238359478701,13.295147484452883,0.897237916683,1.8423928511477325,,
American Samoa,ASM,2002,6,78,14,16,4,49,5,0,39,0,1,0,5,4,1,0,0,5,1,9,0,0,1,1,1,4,,0.9326586422065096,13.289090858817145,0.890757328871,1.7316450792554405,,
American Samoa,ASM,2003,6,79,15,16,4,51,5,0,40,0,1,0,5,4,1,0,0,5,1,8,0,4,1,1,1,4,,0.9099968843211449,13.214728420049068,0.883081252057,1.6601439095490014,,
American Samoa,ASM,2004,6,80,15,16,4,53,5,0,42,0,1,0,5,4,1,0,0,5,1,8,0,0,1,1,1,4,,0.9058739783209669,13.155006990062333,0.872556700012,1.5843843927657857,,
American Samoa,ASM,2005,7,80,15,16,4,55,5,0,43,0,1,0,5,4,1,0,0,5,1,7,0,0,1,1,1,4,,0.875199257598014,12.99888840602733,0.860114071784,1.4887586647278894,,
American Samoa,ASM,2006,7,81,16,15,4,55,5,0,44,0,1,0,5,4,1,0,0,5,1,7,0,1,1,1,1,4,,0.8531271270034502,12.924788441927056,0.849503577025,1.354592004600237,,
American Samoa,ASM,2007,7,82,16,15,4,57,5,0,45,0,1,0,5,4,1,0,0,5,1,7,0,0,1,1,1,4,,0.8248815374204965,12.799367092910558,0.839931405506,1.215894750245422,,
American Samoa,ASM,2008,7,82,17,15,4,58,5,0,46,0,1,0,5,4,1,0,0,5,1,6,0,0,1,1,1,4,,0.793784149261187,12.754393554173504,0.826910333497,1.1924873158982765,,
American Samoa,ASM,2009,7,84,17,15,5,59,6,0,47,0,1,0,5,4,2,0,0,5,1,6,0,34,1,2,1,4,,0.7665322398269765,12.813479317322377,0.822884162599,1.1812214849048892,,
American Samoa,ASM,2010,7,85,18,15,5,60,6,0,48,0,1,0,5,4,2,0,0,5,1,5,0,0,1,1,1,4,,0.746148232283563,12.762481149156676,0.815873600465,1.1985854660338455,,
American Samoa,ASM,2011,7,89,19,15,5,64,6,0,51,0,1,0,5,4,2,0,0,5,1,5,0,0,1,1,1,4,,0.7246626096156299,12.787563260271272,0.813193882103,1.2523531847129088,,
American Samoa,ASM,2012,7,91,19,16,5,66,6,0,52,0,1,0,5,4,2,0,1,5,1,5,0,0,1,1,1,4,,0.7090264048799523,12.852332468095467,0.808385394766,1.3126318150183651,,
American Samoa,ASM,2013,7,94,20,16,5,68,6,0,54,0,1,0,5,4,2,0,1,5,1,5,0,0,1,2,1,4,,0.7283282959680427,13.041255941422396,0.806079663992,1.407714048661795,,
American Samoa,ASM,2014,7,96,20,16,5,70,6,0,55,0,1,0,5,4,3,1,1,5,1,5,0,0,1,2,1,4,,0.7256431017040104,13.204593174850974,0.803300583194,1.46683715065848,,
American Samoa,ASM,2015,7,98,21,17,6,73,6,0,57,1,1,0,5,4,3,1,1,5,1,4,0,0,1,2,1,5,,0.7492173949654942,13.408140936937173,0.792602784517,1.4666451305697148,,
American Samoa,ASM,2016,8,100,21,17,6,74,6,0,58,1,1,0,5,4,3,1,1,5,1,4,0,0,1,2,1,5,,0.737231104935726,13.583507903719445,0.784348977496,1.460882814973072,,
American Samoa,ASM,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7315408690636986,13.799032529895284,,1.4686050967734707,,
Andean Latin America,,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,1526.0209272188984,36291.38218305883,12.4544728596,6575.288359551164,,
Andean Latin America,,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,1493.1445605535994,35191.45187306179,13.3038957038,6385.881020410687,,
Andean Latin America,,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,1469.1157912552812,34926.0927182988,14.3936902554,6254.605304958857,,
Andean Latin America,,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,1405.408242315724,33664.85162250952,15.8389858495,5948.492275734356,,
Andean Latin America,,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,1327.4382980657556,31951.212864021665,17.5221362764,5576.528416267651,,
Andean Latin America,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,1282.5571509190474,31085.452480650718,18.9536809891,5391.230604874303,,
Andean Latin America,,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275.1546985193218,30112.56221579398,18.0507650622,5289.225347006912,,
Andean Latin America,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,1244.0089154646769,28993.016782958402,16.8277518691,5113.960764072019,,
Andean Latin America,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,1266.2134700296622,28380.094526302004,15.5908344594,4913.692023225825,,
Andean Latin America,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,1216.12829374726,27199.266418300893,14.4975835371,4647.40974516615,,
Andean Latin America,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,1143.3540994508503,26431.47504688109,13.4321238258,4361.239427450111,,
Andean Latin America,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,1044.665203964161,25482.55607438189,12.8145383173,3922.4713719220954,,
Andean Latin America,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016.6783012245924,25556.971085535035,12.2755473379,3652.6989215652056,,
Andean Latin America,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,988.5331968824673,26029.81272758505,11.8002501025,3454.208386286045,,
Andean Latin America,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,941.7362698102493,26112.03918311003,11.3729404477,3189.063962739763,,
Andean Latin America,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,899.8577759639479,26080.084518948974,11.0059787456,2948.1651897083766,,
Andean Latin America,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,867.5305002188722,25927.621664747705,11.0408651427,2680.6911720744174,,
Andean Latin America,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,834.3286141683425,26062.524058146824,11.1193382374,2477.631929325744,,
Andean Latin America,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,810.1668763984105,26708.28051279257,11.2129386459,2321.566083250795,,
